name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Louis Latour Bourgogne Chardonnay,3299,33.836,13.0,750
Zinck Portrait Gewurztraminer,3428,33.857,13.5,750
Hubert Sandhofer Pinot Blanc Chardonnay,3183,33.952,12.5,750
Donnafugata Anthilia,3190,34.027,12.5,750
Villa Maria Sauvignon Blanc Earth Garden,3450,34.074,13.5,750
Purato Catarratto Pinot Grigio,1599,34.112,12.5,375
Chapel Peak Sauvignon Blanc,3590,34.19,14.0,750
Chateau Ste Michelle Chardonnay,3595,34.238,14.0,750
Kir Yianni Assyrtiko,3471,34.281,13.5,750
May Fly Sauvignon Blanc,3214,34.283,12.5,750
Birgit Eichinger Gruner Veltliner Ried Hasel,3222,34.368,12.5,750
Marani Rkatsiteli Traditional Qvevri Wine,3485,34.42,13.5,750
Ratti Brigata Chardonnay,3489,34.459,13.5,750
Villa Maria Sauvignon Blanc Private Bin,3492,34.489,13.5,750
Bread & Butter Chardonnay,3499,34.558,13.5,750
Mure Pinot Gris Pierres Seches,3499,34.558,13.5,750
Petit Clos by Clos Henri Sauvignon Blanc,3499,34.558,13.5,750
Duas Quintas Branco,3519,34.756,13.5,750
Jose Pariente Verdejo,3390,34.769,13.0,750
Crystal Bay Riesling,2999,34.771,11.5,750
Diamante Semi Dulce Vino Blanco,2999,34.771,11.5,750
Giunchizza Vermentino di Sardegna,3405,34.923,13.0,750
Atlantik Albarino,3144,34.933,12.0,750
De Grendel Sauvignon Blanc,3275,34.933,12.5,750
la Crochette Chardonnay Macon Villages,3288,35.072,12.5,750
Meinklang Gruner Veltliner,2895,35.091,11.0,750
Meinklang Burgenlandweiss,2895,35.091,11.0,750
Pasqua Pinot Grigio Black Label,3190,35.444,12.0,750
Girlan Pinot Grigio,3590,35.457,13.5,750
Lugana Argillaia,3464,35.528,13.0,750
Burgerspital Wurzburger Pfaffenberg Silvaner trocken,3464,35.528,13.0,750
Willm Pinot Gris Reserve,1799,35.536,13.5,375
Lacerta Feteasca Alba,3691,35.662,13.8,750
Lacerta Chardonnay,3784,35.783,14.1,750
Aresti Trisquel Gran Reserva Sauvignon Blanc,3489,35.785,13.0,750
Pfaff Pinot Gris,3490,35.795,13.0,750
Casal di Serra Verdicchio dei Castelli di Jesi,3490,35.795,13.0,750
Maiastru Sauvignon Blanc,1253,35.8,14.0,250
Saint Clair Chardonnay Omaka Reserve,3499,35.887,13.0,750
Les Mamettes Cotes Catalanes by Jeff Carrel,3499,35.887,13.0,750
Montgras Antu Chardonnay Single Vineyard,3499,35.887,13.0,750
Morande Vitis Unica Chardonnay,3499,35.887,13.0,750
Meinklang Weisser Mulatschak,3099,35.93,11.5,750
Italo Cescon Pinot Grigio,1690,36.053,12.5,375
Colleita de Martis Albarino,3654,36.089,13.5,750
Fontanafredda Gavi di Gavi,3390,36.16,12.5,750
Montes Alpha Chardonnay,3798,36.171,14.0,750
J. Lohr Riverstone Chardonnay,3798,36.171,14.0,750
Torre Mora Scalunera Etna Bianco,3399,36.256,12.5,750
Francois Martenot Bourgogne Chardonnay,3399,36.256,12.5,750
Moment of Silence,3536,36.267,13.0,750
Succes Experiencia Parellada,2999,36.352,11.0,750
Koncho Kisi White semi sweet,2999,36.352,11.0,750
Poggioargentiera Vermentino,3690,36.444,13.5,750
Hubert Sandhofer Frizzando Frizzante,3013,36.521,11.0,750
la Crochette Chardonnay Macon Villages,1787,36.656,13.0,375
Zink Portrait Riesling,3582,36.738,13.0,750
Meinklang Epic,2895,36.762,10.5,750
Vicar's Choice Riesling,2899,36.813,10.5,750
