name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Vidal Fleury Cotes du Rhone,2999,27.577,14.5,750,37.0
Angeles de Amaren Tempranillo y Graciano,2999,27.577,14.5,750,41.0
Lamothe Vincent Heritage,2999,27.577,14.5,750,37.0
Big Game Malbec,2999,27.577,14.5,750,40.0
Guelbenzu Azul,2999,27.577,14.5,750,38.0
Periquita Reserva Red Wine,2690,27.59,13.0,750,31.0
Caparzo Sangiovese,2690,27.59,13.0,750,38.0
Sensi Forziere Chianti Classico,2898,27.6,14.0,750,34.0
Vinea Crianza Tempranillo,2899,27.61,14.0,750,37.0
Flor de Crasto Vinho Tinto,2899,27.61,14.0,750,37.0
Eloquente Selecionada,2692,27.61,13.0,750,37.0
Bellingham Shiraz,2899,27.61,14.0,750,37.0
Cantina di Negrar Appassimento Passito,2899,27.61,14.0,750,41.0
Bellingham Pinotage,2899,27.61,14.0,750,38.0
Villa Puccini Chianti Superiore,2590,27.627,12.5,750,33.0
Paxis Red Blend,2591,27.637,12.5,750,37.0
Apothic Red,2799,27.644,13.5,750,37.0
Michel Lynch Merlot Cabernet Sauvignon,2799,27.644,13.5,750,34.0
Cune Crianza,2799,27.644,13.5,750,36.0
Apothic Cab,2799,27.644,13.5,750,38.0
Gerard Bertrand Merlot Cite de Carcassonne,2799,27.644,13.5,750,38.0
Novas Cabernet Sauvignon Gran Reserva,2799,27.644,13.5,750,37.0
Campet Ste Marie GSM,2799,27.644,13.5,750,35.0
El Holgazan,2906,27.676,14.0,750,37.0
Riporta Nero d'Avola Small Batch,2699,27.682,13.0,750,40.0
Ruffino Chianti,2699,27.682,13.0,750,39.0
Yellow Tail Shiraz,699,27.689,13.5,187,35.0
Mrs. Rabbit Pinot Noir,2599,27.723,12.5,750,38.0
Altos Ibericos Crianza,2940,28.0,14.0,750,37.0
Beronia Ecologico,2940,28.0,14.0,750,35.0
Vila Real Douro Reserva rautt,2947,28.067,14.0,750,37.0
Sensi Ninfato Sangiovese,2948,28.076,14.0,750,36.0
Maison Castel Saint-Emilion rautt,2948,28.076,14.0,750,38.0
Porrais Tinto,2948,28.076,14.0,750,38.0
"Baron de Ley Reserva, Baron de Ley hvítt blandað 2x750 ml í öskju",5499,28.2,13.0,1500,39.0
Hubert Sandhofer Merlot,2751,28.215,13.0,750,
Rioja Vega Crianza,2973,28.314,14.0,750,36.0
Apothic Inferno,3399,28.325,16.0,750,38.0
Pasarisa Cabernet Sauvignon,2975,28.333,14.0,750,39.0
Tagua Carmenere,2765,28.359,13.0,750,35.0
Tagua Syrah,2765,28.359,13.0,750,37.0
Zonin Velluto Appassimento,3091,28.423,14.5,750,37.0
E.Guigal Cotes du Rhone rautt,3199,28.436,15.0,750,37.0
Celeste Roble,2990,28.476,14.0,750,37.0
Lua Cheia Reserva Especial Tinto,2990,28.476,14.0,750,38.0
Vaucher Pere & Fils Cotes du Rhone rautt,2990,28.476,14.0,750,36.0
Carm Tinto,2990,28.476,14.0,750,39.0
600 Vinho Tinto,2990,28.476,14.0,750,36.0
Venta del Puerto No12 Seleccion Especial,2990,28.476,14.0,750,40.0
Baron de Ley Reserva,3099,28.497,14.5,750,39.0
Tenuta di Sticciano Maggiano,3100,28.506,14.5,750,36.0
Gran Feudo Reserva,2888,28.523,13.5,750,35.0
Amicone Rosso,5990,28.524,14.0,1500,38.0
Douro Biologico Organic Wine Tinto / Red,2889,28.533,13.5,750,
With Love Syrah,2890,28.543,13.5,750,
Zenato Valpolicella Superiore,2890,28.543,13.5,750,41.0
LAN Crianza,2890,28.543,13.5,750,37.0
Piccini Memoro rautt,1499,28.552,14.0,375,38.0
Campo Viejo Reserva,2999,28.562,14.0,750,38.0
